frame,gpu_ms,cpu_ms,triangles,draws
177,19.018,2.956,1063849,1699
178,18.7211,2.769,1063849,1699
179,18.283,2.85,1063849,1699
180,18.7546,2.841,1063849,1699
181,18.6538,2.822,1063849,1699
182,19.7253,2.746,1063849,1699
183,19.2928,2.872,1063849,1699
184,18.4193,2.763,1063849,1699
185,18.868,2.882,1063849,1699
186,19.1878,2.731,1063849,1699
187,18.1741,2.977,1063849,1699
188,18.2574,2.85,1063849,1699
189,20.067,2.758,1063849,1699
190,18.513,2.995,1063849,1699
191,18.3603,2.79,1063849,1699
192,18.4662,2.889,1063849,1699
193,19.2132,2.853,1063849,1699
194,18.6266,2.641,1063849,1699
195,19.2136,2.692,1063849,1699
196,18.6917,2.989,1063849,1699
197,18.7117,2.752,1063849,1699
198,19.9962,2.746,1063849,1699
199,18.9691,3.068,1063849,1699
200,18.6549,2.703,1063849,1699
201,19.0463,2.803,1063849,1699
202,18.3918,3.121,1063849,1699
203,19.5552,2.63,1063849,1699
204,18.8438,2.874,1063849,1699
205,19.2092,2.864,1063849,1699
206,18.8734,2.711,1063849,1699
207,18.7019,2.701,1063849,1699
208,19.5685,2.61,1063849,1699
209,18.8726,3.249,1063849,1699
210,19.1156,2.695,1063849,1699
211,19.3109,3.192,1063849,1699
212,18.5034,2.643,1063849,1699
213,19.2687,2.51,1063849,1699
214,19.827,2.894,1063849,1699
215,18.3496,2.856,1063849,1699
216,18.6132,2.711,1063849,1699
217,18.6353,2.915,1063849,1699
218,19.592,2.7,1063849,1699
219,19.3434,2.922,1063849,1699
220,18.3713,2.86,1063849,1699
221,19.6234,2.537,1063849,1699
222,18.8105,2.99,1063849,1699
223,18.3246,2.99,1063849,1699
224,18.8828,2.619,1063849,1699
225,19.2936,3.108,1063849,1699
226,18.4714,2.869,1063849,1699
227,19.1818,2.611,1063849,1699
228,18.9018,2.758,1063849,1699
229,18.5096,3.012,1063849,1699
230,18.8857,2.822,1063849,1699
231,19.3258,2.867,1063849,1699
232,18.4155,3.115,1063849,1699
233,18.3899,2.663,1063849,1699
234,18.2112,2.688,1063849,1699
235,18.4576,2.754,1063849,1699
236,19.4716,2.588,1063849,1699
237,18.9792,2.707,1063849,1699
238,20.5441,2.587,1063849,1699
239,19.0607,3.674,1063849,1699
240,18.7812,2.676,1063849,1699
241,18.9916,2.616,1063849,1699
242,19.4326,2.826,1063849,1699
243,18.5487,2.879,1063849,1699
244,19.3974,2.63,1063849,1699
245,19.0866,2.9,1063849,1699
246,19.5178,2.869,1063849,1699
247,18.9987,2.806,1063849,1699
248,19.1937,2.845,1063849,1699
249,19.0652,2.737,1063849,1699
250,18.723,2.733,1063849,1699
251,19.2493,2.722,1063849,1699
252,18.7674,2.983,1063849,1699
253,19.4172,2.673,1063849,1699
254,18.7837,2.548,1063849,1699
255,19.954,2.578,1063849,1699
256,19.2535,2.921,1063849,1699
257,19.104,2.786,1063849,1699
258,18.1573,2.687,1063849,1699
259,18.7456,2.806,1063849,1699
260,18.2656,2.632,1063849,1699
261,18.881,2.735,1063849,1699
262,18.5965,2.856,1063849,1699
263,18.2597,2.687,1063849,1699
264,18.2236,2.848,1063849,1699
265,19.2193,2.583,1063849,1699
266,19.3528,3.008,1063849,1699
267,17.9427,2.879,1063849,1699
268,18.0808,2.804,1063849,1699
269,19.288,2.771,1063849,1699
270,17.6924,2.839,1063849,1699
271,18.6347,2.757,1063849,1699
272,17.9101,2.84,1063849,1699
273,19.0142,2.678,1063849,1699
274,17.8126,2.789,1063849,1699
275,17.7094,2.651,1063849,1699
276,18.05,2.678,1063849,1699
277,17.861,2.718,1063849,1699
278,18.6629,2.708,1063849,1699
279,17.6647,2.598,1063849,1699
280,18.8975,3.859,1063849,1699
281,18.4987,2.959,1063849,1699
282,19.4108,2.688,1063849,1699
283,18.271,2.925,1063849,1699
284,17.9354,2.668,1063849,1699
285,18.4254,2.747,1063849,1699
286,19.0293,2.908,1063849,1699
287,18.1236,2.798,1063849,1699
288,18.1457,2.757,1063849,1699
289,19.6686,2.745,1063849,1699
290,18.358,2.801,1063849,1699
291,18.4511,2.708,1063849,1699
292,18.9633,2.929,1063849,1699
293,18.4347,2.772,1063849,1699
294,18.6769,2.682,1063849,1699
295,18.2727,2.557,1063849,1699
296,17.4839,2.605,1063849,1699
297,18.1948,2.795,1063849,1699
298,18.318,2.79,1063849,1699
299,18.9402,2.671,1063849,1699
300,18.6148,3.244,1063849,1699
301,18.1152,2.984,1063849,1699
302,19.025,2.841,1063849,1699
303,18.5491,3.133,1063849,1699
304,18.2585,2.831,1063849,1699
305,19.0424,2.716,1063849,1699
306,18.5844,3.223,1063849,1699
307,19.6413,2.808,1063849,1699
308,18.858,2.814,1063849,1699
309,18.654,2.8,1063849,1699
310,18.5889,2.901,1063849,1699
311,19.674,2.697,1063849,1699
312,18.5028,2.775,1063849,1699
313,18.6864,2.655,1063849,1699
314,19.5934,2.675,1063849,1699
315,18.5007,2.83,1063849,1699
316,19.2078,2.879,1063849,1699
317,19.0231,2.788,1063849,1699
