frame,gpu_ms,cpu_ms,triangles,draws
188,19.19,1.034,1063849,593
189,19.8239,1.238,1063849,593
190,17.999,1.151,1063849,593
191,18.696,0.967,1063849,593
192,19.2018,0.975,1063849,593
193,19.5298,1.394,1063849,593
194,18.5005,1.005,1063849,593
195,18.8229,0.862,1063849,593
196,19.1568,1.052,1063849,593
197,18.4744,1.133,1063849,593
198,19.4676,0.979,1063849,593
199,18.5473,0.939,1063849,593
200,18.6511,0.975,1063849,593
201,19.0738,0.912,1063849,593
202,18.9359,1.115,1063849,593
203,19.7347,1.032,1063849,593
204,19.4989,1.076,1063849,593
205,18.6721,1.066,1063849,593
206,20.4631,1.012,1063849,593
207,18.731,1.095,1063849,593
208,18.2982,1.115,1063849,593
209,19.6134,0.965,1063849,593
210,19.0807,1.152,1063849,593
211,18.3704,1.214,1063849,593
212,18.5809,0.971,1063849,593
213,18.9134,1.033,1063849,593
214,18.7426,1.297,1063849,593
215,18.295,0.859,1063849,593
216,19.5533,0.903,1063849,593
217,18.4352,1.13,1063849,593
218,19.6293,1.045,1063849,593
219,18.518,0.966,1063849,593
220,19.4619,0.942,1063849,593
221,18.2583,1.195,1063849,593
222,18.3999,1.122,1063849,593
223,19.1788,0.886,1063849,593
224,18.8758,1.105,1063849,593
225,18.5312,1.28,1063849,593
226,18.6088,1.099,1063849,593
227,18.3941,0.95,1063849,593
228,19.6104,1.14,1063849,593
229,18.3182,1.191,1063849,593
230,19.2546,1.115,1063849,593
231,18.5053,1.073,1063849,593
232,19.5455,0.936,1063849,593
233,18.9579,1.067,1063849,593
234,18.9337,1.065,1063849,593
235,18.8352,1.051,1063849,593
236,19.4883,1.027,1063849,593
237,18.4391,0.924,1063849,593
238,19.2717,1.066,1063849,593
239,19.6404,0.921,1063849,593
240,18.838,1.243,1063849,593
241,18.975,1.092,1063849,593
242,19.2421,1.132,1063849,593
243,18.7601,0.894,1063849,593
244,20.2288,0.816,1063849,593
245,18.5472,1.082,1063849,593
246,19.807,1.047,1063849,593
247,18.9626,1.036,1063849,593
248,17.8725,1.094,1063849,593
249,18.9569,1.191,1063849,593
250,20.6009,1.001,1063849,593
251,18.8369,1.152,1063849,593
252,19.3694,1.148,1063849,593
253,18.6645,1.096,1063849,593
254,18.4863,0.96,1063849,593
255,18.3432,1.048,1063849,593
